"claim_id","question_id","claim","status","source_type","source_identifier","study_design","population_age","sample","exposure_context","comparator","endpoint_window","quantitative_result","limitations","research_implication"
"CLN-001","Q1","Sevoflurane inhalation induction에서 연구된 소아 DS군은 TD군보다 서맥을 더 자주 경험했다.","VERIFIED_CLINICAL_EVIDENCE","Original prospective observational study","PMID 40376277; DOI 10.4274/jpr.galenos.2024.87528","Prospective observational","Children","DS 93; typically developing 102","Sevoflurane inhalation induction","Typically developing children","First 300 seconds","DS 54/93 (58%); TD 22/102 (22%)","Single context; no randomization; endpoint definition and generalizability require protocol audit","Pediatric sevoflurane induction is a justified characterization target, not a universal DS risk claim."
"CLN-002","Q3","같은 전향 연구에서 서맥과 저혈압은 sympathetic failure 관찰과 연관되었다.","VERIFIED_CLINICAL_EVIDENCE","Original prospective observational study","PMID 40376277; DOI 10.4274/jpr.galenos.2024.87528","Prospective observational","Children","DS 93; typically developing 102","Sevoflurane inhalation induction","Typically developing children","First 300 seconds","DS hypotension 23/80 (29%); association reported","Association does not establish a single causal mechanism","Sympathetic activity is a mechanistic research variable, not a treatment target in this product."
"CLN-003","Q3","PMID 40376277 초록의 hypotension 하위집단 분모는 내부 불일치가 있어 그대로 재인용할 수 없다.","LIMITED_EVIDENCE","PubMed abstract quality check","PMID 40376277","Abstract audit","Children","Reported DS subgroup","Sevoflurane induction","None","First 300 seconds","Abstract reports 23/80 hypotension, then 15/28 with sympathetic failure","Denominator 28 is not reconciled in the abstract; full-text/table verification required","Do not use 15/28 as a product statistic until clinician/full-text reconciliation."
"CLN-004","Q1","후향 matched 연구에서도 소아 DS군은 sevoflurane 유도 중 서맥 및 HR 감소가 더 컸다.","VERIFIED_CLINICAL_EVIDENCE","Original retrospective matched study","PMID 21109130; DOI 10.1016/j.jclinane.2010.05.002","Retrospective matched","Children","96 DS cases identified among 11201 pediatric anesthetics; matched comparison","Sevoflurane inhalation induction","Matched by age, CHD, ASA status","During and following induction","Higher bradycardia prevalence and larger HR decrease; exact rate not in PubMed abstract","Retrospective; single pediatric center; treatment counts did not differ","Supports replication of HR trajectory, not efficacy or treatment guidance."
"CLN-005","Q1","별도 후향 연구도 sevoflurane 유도 첫 360초 동안 DS군의 서맥 증가를 보고했다.","VERIFIED_CLINICAL_EVIDENCE","Original retrospective study","PMID 20736433; DOI 10.1213/ANE.0b013e3181f2eacf","Retrospective comparative","Children","209 DS; 268 healthy controls","Sevoflurane induction","Healthy controls","First 360 seconds","Multivariable analysis retained DS and lower ASA status as independent factors","Retrospective; one drug/context; operational bradycardia definition must be reproduced","Use as endpoint-definition source for pediatric sevoflurane characterization."
"CLN-006","Q6","두 소아 sevoflurane 연구에서 CHD 유무와 별개인 DS 관련성이 관찰되었다.","VERIFIED_CLINICAL_EVIDENCE","Two original retrospective studies","PMID 21109130; PMID 20736433","Matched and multivariable retrospective analyses","Children","96 DS in one study; 209 DS and 268 controls in another","Sevoflurane induction","CHD-matched/adjusted groups","Induction windows","Similar DS finding with and without CHD; DS retained in multivariable model","Residual confounding and center-specific practice remain","CHD stratification is mandatory; independence is not proof that CHD is clinically irrelevant."
"CLN-007","Q4","DS procedural sedation cohort는 비교군보다 혈압 감소 폭이 컸다.","VERIFIED_CLINICAL_EVIDENCE","Original retrospective matched study","PMID 40704557; DOI 10.1097/HJH.0000000000004107","Retrospective matched","Children and young adults","150 DS; 146 age-matched non-DS","Procedural sedation","Age-matched non-DS","Sedation episode","SBP mean difference -12.3 mmHg (95% CI -16.1 to -8.6); DBP -10.2 mmHg (95% CI -13.3 to -7.0)","Retrospective; sedation protocols heterogeneous; authors state clinical significance remains uncertain","Supports BP trajectory characterization; does not set a clinical alarm threshold."
"CLN-008","Q7","한 단일기관 DS 소아 코호트에서 비심장 수술·영상 마취의 기록상 합병증률은 낮았다.","VERIFIED_CLINICAL_EVIDENCE","Original retrospective cohort","PMID 40363932; DOI 10.3390/jcm14092900","Retrospective single-center cohort","Children <=18 years","1713 anesthetics from 711 unique patients","Noncardiac surgery or diagnostic imaging","No internal non-DS control","Perioperative record","51 complications; 2.98%; respiratory events 43.1% of complications","No internal control; definitions/ascertainment and repeated anesthetics; tertiary-center selection","Do not claim all perioperative complications are generally elevated in DS."
"CLN-009","Q3-Q5","Resting HRV meta-analysis found limited evidence of lower RMSSD in DS, while other resting metrics were not consistently different.","VERIFIED_CLINICAL_EVIDENCE","Systematic review and meta-analysis","PMID 30005737; DOI 10.1016/j.autneu.2018.05.006","Systematic review/meta-analysis","Mixed individuals with DS","13 included studies","Primarily resting autonomic assessment","Non-DS groups","Study-specific","RMSSD Hedges g -0.55 (95% CI -0.93 to -0.16); only resting comparison reported significant in summary","Small heterogeneous studies; non-anesthesia; study protocols differ","Resting HRV alone is insufficient for individual anesthesia risk classification."
"CLN-010","Q3","작은 비마취 실험에서 DS군은 정적 운동 중 낮은 baroreflex sensitivity와 둔화된 HR/BP 반응을 보였다.","LIMITED_EVIDENCE","Original physiological study","PMID 16331125; DOI 10.1249/01.mss.0000179217.59831.41","Small comparative physiology study","Individuals with DS","12 DS; 10 controls","Rest and isometric handgrip","Controls","Rest/exercise protocol","Lower BRS after controlling resting SBP; attenuated HR/BP responses","Very small; exercise not anesthesia; older study","Baroreflex impairment is a plausible research mechanism, not a patient-level diagnosis."
